,0,1,2
374,BX1,120900,2014-08-08 20:47:01
375,BX1,117900,2014-08-08 20:47:12
376,BX1,124800,2014-08-08 20:47:16
377,BX1,122400,2014-08-08 20:47:23
378,BX1,122400,2014-08-08 20:47:23
379,BX1,120900,2014-08-08 20:47:33
380,BX1,122400,2014-08-08 20:47:55
381,BX1,122400,2014-08-08 20:47:56
382,BX1,117900,2014-08-08 20:48:17
383,BX1,124800,2014-08-08 20:48:18
384,BX1,121000,2014-08-08 20:48:24
385,BX1,117900,2014-08-08 20:48:48
386,BX1,124800,2014-08-08 20:48:50
387,BX1,121000,2014-08-08 20:48:55
388,BX1,122400,2014-08-08 20:48:58
389,BX1,122400,2014-08-08 20:48:59
390,BX1,120900,2014-08-08 20:49:05
391,BX1,117900,2014-08-08 20:49:20
392,BX1,124800,2014-08-08 20:49:22
393,BX1,117900,2014-08-08 20:49:52
394,BX1,124800,2014-08-08 20:49:53
395,BX1,121000,2014-08-08 20:50:00
396,BX1,122400,2014-08-08 20:50:01
397,BX1,122400,2014-08-08 20:50:04
398,BX1,120900,2014-08-08 20:50:13
399,BX1,120900,2014-08-08 20:50:47
400,BX1,124800,2014-08-08 20:50:55
401,BX1,117900,2014-08-08 20:50:56
402,BX1,121000,2014-08-08 20:51:02
403,BX1,122400,2014-08-08 20:51:04
404,BX1,122400,2014-08-08 20:51:06
405,BX1,121000,2014-08-08 20:51:34
406,BX1,122400,2014-08-08 20:51:36
407,BX1,122400,2014-08-08 20:51:39
408,BX1,117900,2014-08-08 20:51:58
409,BX1,120900,2014-08-08 20:51:58
410,BX1,124800,2014-08-08 20:51:58
411,BX1,121000,2014-08-08 20:52:05
412,BX1,122400,2014-08-08 20:52:07
413,BX1,122400,2014-08-08 20:52:10
414,BX1,121000,2014-08-08 20:52:38
415,BX1,122400,2014-08-08 20:52:39
416,BX1,122400,2014-08-08 20:52:41
417,BX1,124800,2014-08-08 20:53:01
418,BX1,120900,2014-08-08 20:53:06
419,BX1,124800,2014-08-08 20:53:32
420,BX1,120900,2014-08-08 20:53:40
421,BX1,121000,2014-08-08 20:53:40
422,BX1,122400,2014-08-08 20:53:42
423,BX1,122400,2014-08-08 20:53:44
424,BX1,124800,2014-08-08 20:54:34
425,BX1,121000,2014-08-08 20:54:44
426,BX1,122400,2014-08-08 20:54:45
427,BX1,120900,2014-08-08 20:54:48
428,BX1,122400,2014-08-08 20:54:48
429,BX1,120900,2014-08-08 20:55:22
430,BX1,124800,2014-08-08 20:55:37
431,BX1,121000,2014-08-08 20:55:47
432,BX1,122400,2014-08-08 20:55:49
433,BX1,122400,2014-08-08 20:55:51
434,BX1,121000,2014-08-08 20:56:18
435,BX1,122400,2014-08-08 20:56:20
436,BX1,122400,2014-08-08 20:56:23
437,BX1,120900,2014-08-08 20:56:28
438,BX1,124800,2014-08-08 20:56:40
439,BX1,124800,2014-08-08 20:57:12
440,BX1,125700,2014-08-08 20:57:12
441,BX1,121000,2014-08-08 20:57:23
442,BX1,122400,2014-08-08 20:57:24
443,BX1,122400,2014-08-08 20:57:26
444,BX1,120900,2014-08-08 20:57:33
445,BX1,120900,2014-08-08 20:58:05
446,BX1,124800,2014-08-08 20:58:15
447,BX1,125700,2014-08-08 20:58:16
448,BX1,121000,2014-08-08 20:58:26
449,BX1,122400,2014-08-08 20:58:28
450,BX1,122400,2014-08-08 20:58:30
451,BX1,122400,2014-08-08 20:59:03
452,BX1,120900,2014-08-08 20:59:07
453,BX1,124800,2014-08-08 20:59:18
454,BX1,125700,2014-08-08 20:59:19
455,BX1,121000,2014-08-08 20:59:30
456,BX1,122400,2014-08-08 20:59:31
457,BX1,121000,2014-08-08 21:00:01
458,BX1,122400,2014-08-08 21:00:02
459,BX1,122400,2014-08-08 21:00:06
460,BX1,120900,2014-08-08 21:00:11
461,BX1,124800,2014-08-08 21:00:21
462,BX1,125700,2014-08-08 21:00:21
463,BX1,124800,2014-08-08 21:00:52
464,BX1,125700,2014-08-08 21:00:52
465,BX1,121000,2014-08-08 21:01:04
466,BX1,122400,2014-08-08 21:01:07
467,BX1,122400,2014-08-08 21:01:10
468,BX1,120900,2014-08-08 21:01:13
469,BX1,120900,2014-08-08 21:01:45
470,BX1,124800,2014-08-08 21:01:55
471,BX1,125700,2014-08-08 21:01:58
472,BX1,121000,2014-08-08 21:02:07
473,BX1,122400,2014-08-08 21:02:10
474,BX1,122400,2014-08-08 21:02:14
475,BX1,121000,2014-08-08 21:02:38
476,BX1,122400,2014-08-08 21:02:42
477,BX1,122400,2014-08-08 21:02:46
478,BX1,120900,2014-08-08 21:02:47
479,BX1,124800,2014-08-08 21:02:57
480,BX1,125700,2014-08-08 21:03:02
481,BX1,121000,2014-08-08 21:03:42
482,BX1,122400,2014-08-08 21:03:45
483,BX1,122400,2014-08-08 21:03:49
484,BX1,120900,2014-08-08 21:03:50
485,BX1,124800,2014-08-08 21:04:00
486,BX1,125700,2014-08-08 21:04:05
487,BX1,124800,2014-08-08 21:04:32
488,BX1,125700,2014-08-08 21:04:37
489,BX1,121000,2014-08-08 21:04:45
490,BX1,122400,2014-08-08 21:04:48
491,BX1,122400,2014-08-08 21:04:51
492,BX1,120900,2014-08-08 21:04:52
493,BX1,122400,2014-08-08 21:05:23
494,BX1,120900,2014-08-08 21:05:24
495,BX1,124800,2014-08-08 21:05:35
496,BX1,125700,2014-08-08 21:05:41
497,BX1,121000,2014-08-08 21:05:48
498,BX1,122400,2014-08-08 21:05:51
499,BX1,125700,2014-08-08 21:06:12
500,BX1,121000,2014-08-08 21:06:19
501,BX1,122400,2014-08-08 21:06:22
502,BX1,120900,2014-08-08 21:06:26
503,BX1,122400,2014-08-08 21:06:26
504,BX1,124800,2014-08-08 21:06:39
505,BX1,125700,2014-08-08 21:06:44
506,BX1,124800,2014-08-08 21:07:11
507,BX1,125700,2014-08-08 21:07:15
508,BX1,121000,2014-08-08 21:07:22
509,BX1,122400,2014-08-08 21:07:25
510,BX1,120900,2014-08-08 21:07:29
511,BX1,122400,2014-08-08 21:07:30
512,BX1,124800,2014-08-08 21:08:14
513,BX1,125700,2014-08-08 21:08:19
514,BX1,121000,2014-08-08 21:08:24
515,BX1,122400,2014-08-08 21:08:28
516,BX1,120900,2014-08-08 21:08:31
517,BX1,122400,2014-08-08 21:08:32
518,BX1,122400,2014-08-08 21:08:59
519,BX1,120900,2014-08-08 21:09:03
520,BX1,122400,2014-08-08 21:09:05
521,BX1,124800,2014-08-08 21:09:16
522,BX1,125700,2014-08-08 21:09:21
523,BX1,121000,2014-08-08 21:09:27
524,BX1,124800,2014-08-08 21:09:48
525,BX1,125700,2014-08-08 21:09:53
526,BX1,121000,2014-08-08 21:09:59
527,BX1,122400,2014-08-08 21:10:02
528,BX1,120900,2014-08-08 21:10:06
529,BX1,122400,2014-08-08 21:10:09
530,BX1,124800,2014-08-08 21:10:19
531,BX1,125700,2014-08-08 21:10:25
532,BX1,124800,2014-08-08 21:10:50
533,BX1,125700,2014-08-08 21:10:56
534,BX1,121000,2014-08-08 21:11:02
535,BX1,122400,2014-08-08 21:11:06
536,BX1,120900,2014-08-08 21:11:09
537,BX1,122400,2014-08-08 21:11:13
538,BX1,122400,2014-08-08 21:11:39
539,BX1,120900,2014-08-08 21:11:41
540,BX1,122400,2014-08-08 21:11:45
541,BX1,124800,2014-08-08 21:11:52
542,BX1,125700,2014-08-08 21:11:58
543,BX1,120700,2014-08-08 21:11:59
544,BX1,121000,2014-08-08 21:12:05
545,BX1,122400,2014-08-08 21:12:11
546,BX1,120900,2014-08-08 21:12:12
547,BX1,121000,2014-08-08 21:12:36
548,BX1,122400,2014-08-08 21:12:42
549,BX1,120900,2014-08-08 21:12:44
550,BX1,122400,2014-08-08 21:12:49
551,BX1,124800,2014-08-08 21:12:55
552,BX1,125700,2014-08-08 21:13:01
553,BX1,124800,2014-08-08 21:13:27
554,BX1,125700,2014-08-08 21:13:32
555,BX1,121000,2014-08-08 21:13:39
556,BX1,122400,2014-08-08 21:13:46
557,BX1,120900,2014-08-08 21:13:47
558,BX1,122400,2014-08-08 21:13:52
559,BX1,124800,2014-08-08 21:13:59
560,BX1,120900,2014-08-08 21:14:18
561,BX1,122400,2014-08-08 21:14:18
562,BX1,122400,2014-08-08 21:14:24
563,BX1,124800,2014-08-08 21:14:30
564,BX1,125700,2014-08-08 21:14:35
